feature	s__Rothia_aeria	s__Rothia_dentocariosa	s__Rothia_mucilaginosa	s__Porphyromonas_sp_oral_taxon_279	s__Prevotella_intermedia	s__Prevotella_loescheii	s__Prevotella_melaninogenica	s__Prevotella_nanceiensis	s__Prevotella_veroralis	s__Capnocytophaga_gingivalis	s__Capnocytophaga_unclassified	s__Gemella_haemolysans	s__Gemella_sanguinis	s__Gemella_unclassified	s__Staphylococcus_aureus	s__Abiotrophia_defectiva	s__Granulicatella_adiacens	s__Granulicatella_unclassified	s__Streptococcus_anginosus	s__Streptococcus_australis	s__Streptococcus_infantis	s__Streptococcus_mitis_oralis_pneumoniae	s__Streptococcus_parasanguinis	s__Streptococcus_salivarius	s__Streptococcus_sanguinis	s__Oribacterium_sinus	s__Peptostreptococcus_unclassified	s__Solobacterium_moorei	s__Veillonella_atypica	s__Veillonella_parvula	s__Veillonella_unclassified	s__Fusobacterium_nucleatum	s__Neisseria_meningitidis	s__Neisseria_sicca	s__Neisseria_subflava	s__Neisseria_unclassified	s__Haemophilus_influenzae	s__Haemophilus_parainfluenzae	s__Pseudomonas_aeruginosa	s__Pseudomonas_unclassified	s__Stenotrophomonas_maltophilia	s__Stenotrophomonas_unclassified	s__Murine_osteosarcoma_virus
D09	-9.26571225792489	-11.5150359207912	-16.1599800330143	-5.91159705994495	-11.868648492024	-12.9732405684172	-12.9587758889878	-11.2842843089228	-12.5340656685426	-10.5397736578412	-12.7892128006629	-12.447919915534	-9.13290464252153	-15.4365128966866	-1.55432414142406	-11.5855338476843	-13.2371506655201	-12.8888783975116	-13.9565107041177	-10.5980640953068	-11.4906825431208	-10.060664337009	-12.2280108631336	-7.59152305118976	-12.8511715004351	-12.0784062624924	-13.8235310484595	-14.252824543589	-14.8457694824721	-11.8108397868537	-14.0649076742347	-14.6399578760136	-11.6948109198981	-11.5015440599114	-14.0356274675088	-10.4970653787266	-11.263354778187	-11.4820071947109	-3.44795744863541	-0.816349613583992	-8.29916088373267	-11.6242916337969	-9.57997508879244
D10	-9.26571225792489	-11.5150359207912	-16.1599800330143	-5.91159705994495	-11.868648492024	-12.9732405684172	-12.9587758889878	-11.2842843089228	-12.5340656685426	-10.5397736578412	-12.7892128006629	-12.447919915534	-9.13290464252153	-15.4365128966866	-2.21023309358069	-11.5855338476843	-13.2371506655201	-12.8888783975116	-13.9565107041177	-10.5980640953068	-11.4906825431208	-10.060664337009	-12.2280108631336	-7.59152305118976	-12.8511715004351	-12.0784062624924	-13.8235310484595	-14.252824543589	-14.8457694824721	-11.8108397868537	-14.0649076742347	-14.6399578760136	-11.6948109198981	-11.5015440599114	-14.0356274675088	-10.4970653787266	-11.263354778187	-11.4820071947109	-0.351257347275963	-8.7949739199066	-8.29916088373267	-11.6242916337969	-9.57997508879244
D11	-9.26571225792489	-11.5150359207912	-16.1599800330143	-5.91159705994495	-11.868648492024	-12.9732405684172	-12.9587758889878	-11.2842843089228	-12.5340656685426	-10.5397736578412	-12.7892128006629	-12.447919915534	-9.13290464252153	-15.4365128966866	-2.86531487935765	-11.5855338476843	-13.2371506655201	-12.8888783975116	-13.9565107041177	-10.5980640953068	-11.4906825431208	-10.060664337009	-12.2280108631336	-7.59152305118976	-12.8511715004351	-12.0784062624924	-13.8235310484595	-14.252824543589	-14.8457694824721	-11.8108397868537	-14.0649076742347	-14.6399578760136	-11.6948109198981	-4.67267664222589	-14.0356274675088	-0.646587259602097	-10.0889836733003	-3.34963642961763	-3.5436520036444	-8.7949739199066	-8.29916088373267	-11.6242916337969	-9.57997508879244
D12	-9.26571225792489	-11.5150359207912	-16.1599800330143	-5.91159705994495	-11.868648492024	-12.9732405684172	-12.9587758889878	-11.2842843089228	-12.5340656685426	-10.5397736578412	-12.7892128006629	-12.447919915534	-9.13290464252153	-15.4365128966866	-16.952641157656	-11.5855338476843	-13.2371506655201	-12.8888783975116	-13.9565107041177	-10.5980640953068	-11.4906825431208	-10.060664337009	-12.2280108631336	-7.59152305118976	-12.8511715004351	-12.0784062624924	-13.8235310484595	-14.252824543589	-14.8457694824721	-11.8108397868537	-14.0649076742347	-14.6399578760136	-11.6948109198981	-11.5015440599114	-14.0356274675088	-10.4970653787266	-11.263354778187	-11.4820071947109	-4.31732459401881	-0.0742432783485773	-8.29916088373267	-11.6242916337969	-9.57997508879244
E01	-9.26571225792489	-11.5150359207912	-16.1599800330143	-5.91159705994495	-11.868648492024	-12.9732405684172	-12.9587758889878	-11.2842843089228	-12.5340656685426	-10.5397736578412	-12.7892128006629	-12.447919915534	-9.13290464252153	-15.4365128966866	-0.0939310237123248	-11.5855338476843	-13.2371506655201	-12.8888783975116	-13.9565107041177	-10.5980640953068	-11.4906825431208	-10.060664337009	-12.2280108631336	-7.59152305118976	-12.8511715004351	-12.0784062624924	-13.8235310484595	-14.252824543589	-14.8457694824721	-11.8108397868537	-14.0649076742347	-14.6399578760136	-11.6948109198981	-11.5015440599114	-14.0356274675088	-10.4970653787266	-11.263354778187	-11.4820071947109	-6.52778462703866	-4.2599180463554	-8.29916088373267	-11.6242916337969	-9.57997508879244
E02	-9.26571225792489	-11.5150359207912	-16.1599800330143	-5.91159705994495	-11.868648492024	-12.9732405684172	-12.9587758889878	-11.2842843089228	-12.5340656685426	-10.5397736578412	-12.7892128006629	-12.447919915534	-9.13290464252153	-15.4365128966866	-0.166420734637026	-11.5855338476843	-13.2371506655201	-12.8888783975116	-13.9565107041177	-10.5980640953068	-11.4906825431208	-10.060664337009	-12.2280108631336	-7.59152305118976	-12.8511715004351	-12.0784062624924	-13.8235310484595	-14.252824543589	-14.8457694824721	-11.8108397868537	-14.0649076742347	-14.6399578760136	-11.6948109198981	-11.5015440599114	-14.0356274675088	-10.4970653787266	-11.263354778187	-5.1062569524819	-6.1718780006003	-3.92033694528156	-8.29916088373267	-11.6242916337969	-9.57997508879244
E03	-9.26571225792489	-11.5150359207912	-16.1599800330143	-5.91159705994495	-11.868648492024	-12.9732405684172	-12.9587758889878	-11.2842843089228	-12.5340656685426	-10.5397736578412	-12.7892128006629	-12.447919915534	-9.13290464252153	-15.4365128966866	-0.371787823858924	-11.5855338476843	-13.2371506655201	-12.8888783975116	-13.9565107041177	-10.5980640953068	-11.4906825431208	-10.060664337009	-12.2280108631336	-7.59152305118976	-12.8511715004351	-12.0784062624924	-13.8235310484595	-14.252824543589	-14.8457694824721	-11.8108397868537	-14.0649076742347	-14.6399578760136	-11.6948109198981	-11.5015440599114	-14.0356274675088	-6.84239950408491	-11.263354778187	-11.4820071947109	-2.19454904240676	-8.7949739199066	-8.29916088373267	-11.6242916337969	-9.57997508879244
E04	-9.26571225792489	-11.5150359207912	-16.1599800330143	-5.91159705994495	-11.868648492024	-12.9732405684172	-12.9587758889878	-11.2842843089228	-12.5340656685426	-10.5397736578412	-12.7892128006629	-12.447919915534	-9.13290464252153	-15.4365128966866	-10.8494195279703	-11.5855338476843	-13.2371506655201	-12.8888783975116	-13.9565107041177	-10.5980640953068	-11.4906825431208	-10.060664337009	-12.2280108631336	-7.59152305118976	-12.8511715004351	-12.0784062624924	-13.8235310484595	-14.252824543589	-14.8457694824721	-11.8108397868537	-14.0649076742347	-14.6399578760136	-11.6948109198981	-11.5015440599114	-14.0356274675088	-10.4970653787266	-0.00179178529688141	-10.4820071947109	-11.0260140652705	-8.7949739199066	-8.29916088373267	-11.6242916337969	-9.57997508879244
E05	-9.26571225792489	-11.5150359207912	-16.1599800330143	-5.91159705994495	-11.868648492024	-12.9732405684172	0	-11.2842843089228	-12.5340656685426	-10.5397736578412	-12.7892128006629	-12.447919915534	-9.13290464252153	-15.4365128966866	-16.952641157656	-11.5855338476843	-13.2371506655201	-12.8888783975116	-13.9565107041177	-10.5980640953068	-11.4906825431208	-10.060664337009	-12.2280108631336	-7.59152305118976	-12.8511715004351	-12.0784062624924	-13.8235310484595	-14.252824543589	-14.8457694824721	-11.8108397868537	-14.0649076742347	-14.6399578760136	-11.6948109198981	-11.5015440599114	-14.0356274675088	-10.4970653787266	-11.263354778187	-11.4820071947109	-11.0260140652705	-8.7949739199066	-8.29916088373267	-11.6242916337969	-9.57997508879244
E06	-9.26571225792489	-6.8975262229148	-16.1599800330143	-5.91159705994495	-11.868648492024	-12.9732405684172	-0.0121517826129348	-11.2842843089228	-12.5340656685426	-10.5397736578412	-12.7892128006629	-12.447919915534	-9.13290464252153	-15.4365128966866	-16.952641157656	-11.5855338476843	-13.2371506655201	-12.8888783975116	-13.9565107041177	-10.5980640953068	-11.4906825431208	-10.060664337009	-12.2280108631336	-7.59152305118976	-12.8511715004351	-12.0784062624924	-13.8235310484595	-14.252824543589	-14.8457694824721	-11.8108397868537	-14.0649076742347	-14.6399578760136	-11.6948109198981	-11.5015440599114	-14.0356274675088	-10.4970653787266	-11.263354778187	-11.4820071947109	-11.0260140652705	-8.7949739199066	-8.29916088373267	-11.6242916337969	-9.57997508879244
E07	-2.91741389232411	-10.5150359207912	-4.5852441693703	-4.37284104074917	-11.868648492024	-12.9732405684172	-12.9587758889878	-9.42110116570023	-12.5340656685426	-5.64195628503942	-6.02561489039845	-4.8851364082115	-9.13290464252153	-7.82726909713952	-8.64839879263343	-8.24464982186087	-9.61428446228005	-6.8964680501739	-13.9565107041177	-10.5980640953068	-8.30791898442127	-4.70569275642005	-12.2280108631336	-4.33834344443886	-1.89039702052852	-6.37977921978246	-13.8235310484595	-14.252824543589	-8.99844255216955	-5.09747899333097	-7.03913730125272	-14.6399578760136	-8.20552046475491	-3.66093581923915	-8.95198663372031	-2.43748708056729	-9.92961403619703	-11.4820071947109	-11.0260140652705	-8.7949739199066	-8.29916088373267	-11.6242916337969	-7.65101542680375
